Modelo,MAE,RMSE,R²
Árbol de Decisión,2.2841557026483494,3.3034460069767815,0.797034083716745
Random Forest Baseline,1.591275,2.1618340593116763,0.9130772620608741
Random Forest Optimizado,1.5524851377597586,2.128693028855446,0.9157218946418085
