modelo,MSE,RMSE,MAE,R^2
AdaBoost,5.865232947020327,2.421824301434835,1.7212890081780805,0.8909127601168465
XGBoost,5.277492823912837,2.2972794396661538,1.7550979375839233,0.9018441158494356
AdaBoost GS,5.099839650103981,2.25828245578448,1.657355286568525,0.9051482803323033
XGB GS,5.536190024503706,2.3529109682484175,1.7753808784484868,0.8970326166587184
